prompt,completion
@sardesairajdeep @narendramodi. U seem 2 b more happy abt the dvlpt Nything dat fails for Modi make u elated even @the cost of de country?,"disgust
joy
sadness"
Love this! Laughing while crying works too! #katherinemansfield #failure #laughter #dealingwithfailure,"joy
love
optimism"
@AniahROSE I know smh. My heart sunk into my stomach.,"fear
sadness"
"can only blame Jose ere why would you give Rojo another start after Sunday , fucking disaster waiting to happen &amp; it did shocking header !","anger
disgust"
"Y'all bitches be so angry and bitter, that must truly suck lol","anger
disgust"
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,"anger
disgust
sadness"
@Darren32895836 @FatimaFatwa it would be a great opportunity to settle the globe down.. #fear does wonders..,"fear
joy
optimism"
Today you visited me in my dreams and even though you aren't physically gone I still mourn you,"pessimism
sadness"
"A lot of positives tonight. A clean sheet, Payet got some free kick practice, Zaza looked lively and made a lot of good runs","joy
optimism
trust"
"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure ","anticipation
optimism"
@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly,sadness
@kingvee_ don't provoke me to anger,"anger
disgust"
@JohnVerdejo Mannn I can't count how many times I've had the '#PR's power grid needs some serious updating' conversation...,disgust
Dylon felt dejected. He has a dejected aunt!,"anger
pessimism
sadness"
@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter #bully #bbcnews #skynews,"anger
sadness"
@mcdermo11 @rogerc32 u gave Laura so much constructive criticism she blocked u 'Lazy Give Up Now No Hope Retire' same with Heather ,"disgust
sadness"
And she got all angry telling me 'but what would be doing a 40 year old guy looking for a girl like you' and I felt #offended,"anger
disgust"
Always hurting somewhere..... ALWAYS tired ....when are you lively ??,"pessimism
sadness"
what to wear Friday \nspeaking in front of 100's.   #nervous,"fear
pessimism"
Good morning.Let's start with a smile!\nLet's enjoy life in a cheerful way!\nDon't worry be happy!,"anticipation
joy
optimism
trust"
Go away please ... I'm begging »»» #depression #anxiety #worry #fear #sadness \nDreams of joy and my baby to be found...Sits on #AndisBench,"fear
pessimism
sadness"
@The_East_End And the air raid alarm was actually false.  There was no attack inbound at the time.,fear
"if u have time 2 open a snap, u have time 2 respond","anger
disgust"
#smackdev #ptp #start word,
"@Jay_2752 thank you, I shall mourn her",sadness
Let's refuse to live in #fear - #sotoventures,"fear
optimism"
and I'm up from a dream where I said something really retarded on twitter and it got like 10000 retweets ,"anticipation
joy
surprise"
Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious,"sadness
surprise"
Fast and furious 6 this Monday 10 pm on mbc 2 😍😍😍😍😍😍😍,"anticipation
joy
love"
Living life so relentless,"pessimism
sadness"
also i had an awful nightmare involving being sick where worms were involved i was so disgusted when i woke up,"disgust
fear
sadness"
something incredibly terrible about my life is i'm 23 years old and still suffering through group projects..........,"fear
pessimism
sadness"
"Too many are on their 'yeah, the thing going on with cops shooting innocent people is sad - but just not in my backyard, so..'  #blm","anger
pessimism
sadness"
@casillasbreanna awe thanks girl 😊😊,"joy
love"
That AK47 leave your spine with a frown,"anger
disgust
fear
pessimism"
Candace &amp; her pout are getting right on my tits #GBBO,"anger
disgust"
Watching driven by food and @andrewzimmern going to Devon Ave to eat nihari makes me gleeful af,"joy
love"
Some serious hip shaking going on tonight 😜,"joy
optimism"
@AmontanaW I nearly dropped my phone into the sink HAHAHAHA,"fear
joy
optimism"
I remember when Rooney wanted to leave United and the fans threaten to kill the man and bare junk... wanna regretting that now? 😂😂,"anger
disgust"
"@kikibug13 Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)","joy
sadness"
@prw190 #zionist = #terror \nImagine this kid was a #Palestinian or #Muslim\nZionists stealing #innocence of childhood from #Jewish #children,"disgust
fear
sadness"
"@Chr1sMcLaughlin he's brilliant, lost the joyous plot with us that year. Admits being a fan now after that.",joy
Look forward to the detours because they bring delightful surprises. #lifequote ,"joy
optimism"
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,"anger
disgust"
No @Chrishilly1987 for MOS 😡  #shocking Leads from the front 💪🏻,"anger
surprise"
@laray_jenkins2 @SportsInsights yeah I know it unless our offense can get something going. That's a big if,"anticipation
disgust
pessimism
surprise"
my life in one word is depressing,"disgust
pessimism
sadness"
Well I won't be doing a unboxing of the iPhone 7 plus on my channel until November sadly. Thank you @TMobile @Apple Staten Island NY smh,"pessimism
sadness"
Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed,"anger
joy
optimism"
Patriot rookie QB Jacoby Brissett  to start vs Houston tomorrow nite.\n\n'Been a learning process since I got here.Gotta be ready to go.',"anticipation
joy"
Special thanks to @hamsterwatch &amp; @UgotBronx for keeping us updated &amp; entertained this dismal BB season 💕,"joy
optimism"
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,"anticipation
joy
optimism"
Being shy is the biggest struggle of my life. 🙄,"fear
pessimism
sadness"
#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,"anger
disgust"
penny dreadful just cleaved off a fraction of my heart,sadness
"Well, I had hopes for today. No go. #unhappy","anger
anticipation
pessimism
sadness"
"Yes Mourinho, you really should stop speaking about refs! And try cheering up a bit.","anticipation
disgust
joy
optimism"
I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death,"anger
fear
pessimism
sadness"
@GeneralBakshi Only Indian seems to be afraid of War is @sardesairajdeep n like India is for WAR! WAR! WAR! we cry war. #PakistanMustPay,"anger
anticipation
disgust
fear"
"Okay you've annoyed me, you haven't done a good job there at all. #furious","anger
disgust"
@Theresa_Talbot @fleurrbie Haha...sorry about the dreadful puns... I need to get out more....I've been cooped up lately...,"anger
joy
pessimism
sadness"
"@david_garrett Quite saddened.....no US dates, no joyous anticipation of attending a DG concert (since 2014). Happy you are keeping busy.","optimism
sadness"
Okay. Brace yourself. I will attempt my first loaf of bread in the morning. I will use a dutch oven. I will make the dough now. ,"anticipation
joy
optimism"
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot,"anticipation
sadness"
"@joeyskawaii i know i don't know u, but physiatrists are seriously the number one best thing for people with anxiety.","fear
optimism"
@isthismike_p that nigga is horrible bro,"anger
disgust
fear"
"@Klipto the orange one is #poisonous and #bitter. You shouldn't judge the #blue one by how it looks but by how it tastes, #delicious.","anger
anticipation
joy
optimism"
It was very hard to stifle my laughter after I overheard this comment. It really is amazing in the worst ways.,joy
"@RealMichaelKay Annoys me to about the Ortiz tribute too, how would the Oriole fans and organization feel if Yanks did that to them? ",anger
"@John_Hanna he has become so dreary, also, yes...","joy
optimism"
so I picked up my phone!!!' #shocking 😳,"disgust
sadness
surprise"
@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx,"joy
love"
@MUTGuru I know guys that sink $1000s into the game and only to build a team and play solos. But this hear you make nothing on solos.,"anticipation
disgust
sadness"
@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag,"anger
disgust
sadness"
The most depressing part of being ill is that your taste goes 😫,"disgust
sadness"
"@PunishedSnek in the final analysis, the non-white global majority will not fret over the ethnic origin of our corpses.",
Just over a week until I start my new job in F1! Looking forward to it and cacking myself at the same time! #nervous,"anticipation
fear"
I have no #alarm preset #life will #wakemeup,"joy
optimism"
@el_tityboi bc it's a gloomy day Tony,"pessimism
sadness"
@Markk1872  Red heads are more fiery.,"anger
fear"
I've been wanting salty fries from McDonald's since yesterday and I'm burning my fingers eating them bc these shits 🔥🔥🔥,"anger
disgust"
semores: let's get this. #mirth #SAW #keepthetradition 💜💛⚛🏵🍇🍋🌼🐤🐥👚😈😈👾🧀,"joy
love
optimism"
@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,"anticipation
optimism
sadness
trust"
Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.,"anticipation
optimism"
"tbh amy i don't know why you need to sort your life out, it's looks like your having a great time' thanks tiff 😂💜","joy
optimism"
@DavuuWart this is hilarious !!,joy
Jeans with fake pockets #horrible,"anger
disgust"
"I think it's time to change my #irate motif, now that #TalkLikeAPirate Day is over, but...Pirate Minion is so cute, I don't want to. 😟","anger
sadness"
#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.,
@djddueces jojo at 12:30 and not midnight lets rage WRYYYYYY,"anger
disgust
sadness"
@SherriEShepherd because #whitepeople are #afraid of large #blackmen?,"disgust
fear"
My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩,"joy
sadness"
Don't be bitter,"disgust
optimism
pessimism
sadness"
@FlakeJay ring ring! #depression is here,"disgust
fear
pessimism
sadness"
This nigga doesn't even look for his real family 🙄😂 #sad,"pessimism
sadness"
@yungdoujin wouldn't that basically be sparkling water,
PM #SheikhHasina in @UN speech terms #terrorism as global challenge and urges world leaders to work together to unroot it from everywhere.,"anticipation
fear
optimism"
"@TheVulcanSalute , just saw the Save The Day PSA. Why were you in obvious tears doing it? I'd have thought you'd be your cheerful self.",sadness
@StrongestBeing ←would furrow and her face would redden as she protests; it would seem that being seen as unattractive in Wukong's eyes was→,"anger
disgust"
"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP",sadness
If my concerns &amp; anxiety don't matter to you then I shall return the favor. #EyeMatter,"anger
fear"
